feature,coefficient,abs_coef
HBA,0.6062720161248447,0.6062720161248447
TPSA,-0.5273149679087448,0.5273149679087448
Rings,-0.35204244576480903,0.35204244576480903
LogP,-0.34586136458875255,0.34586136458875255
AromaticRings,-0.33638849126747766,0.33638849126747766
gly605_contacts,-0.3335170854973542,0.3335170854973542
glu603_contacts,-0.3333668903083256,0.3333668903083256
HBD,0.24545160319285736,0.24545160319285736
MW,0.21738945048680922,0.21738945048680922
RotBonds,0.12987197153407257,0.12987197153407257
HeavyAtoms,-0.12175077215328804,0.12175077215328804
