fold,r2,rmse,mae
1,0.6700854271509804,0.6669612143604832,0.4563723087738407
2,0.7624669937693336,0.599207170785328,0.42444787456834304
3,0.6755854749602364,0.6196418763624811,0.43932400856758425
4,0.7266972830283773,0.6391124250562316,0.4558434773891881
5,0.6315219548288673,0.7108272267577548,0.5027614778417345
6,0.7655003616096334,0.6287628982828988,0.43951326480085606
7,0.6927359422427862,0.6300560487226881,0.46240146972021284
8,0.6426014121867546,0.6866982391617493,0.4660132271706223
9,0.7738334573463352,0.5517336968126592,0.39902533010203806
10,0.6756446387661023,0.665662677563184,0.4809778258839121
