ligand,smiles,affinity_kcal,MW,LogP,HBD,HBA,TPSA,SA_score
zinc_div_0277,O=C1CC[C@H](N2CC[C@@H]3CN(C(=O)c4cnn[nH]4)[C@@H]3C2)C(=O)N1,-8.943,318.3,-1.24,2,6,111.3,4.21
zinc_div_0276,O=C1NCC[C@H]1C(=O)N1C[C@@H]2CCN(C(=O)c3cnn[nH]3)[C@@H]2C1,-8.862,318.3,-1.39,2,5,111.3,4.3
zinc_div_0300,O=C1NCC[C@@H]1N1CCN(C(=O)[C@H]2CCc3nn[nH]c3C2)CC1,-8.422,318.4,-1.06,2,5,94.2,3.87
zinc_div_0295,O=C1NCC[C@H]1N1CCN(C(=O)[C@@H]2CCc3nn[nH]c3C2)CC1,-8.184,318.4,-1.06,2,5,94.2,3.87
zinc_div_0100,O=C1CN([C@H]2CCCC[C@@H]2N2CC(=O)NC(=O)C2)CC(=O)N1,-8.17,308.3,-1.79,2,6,98.8,3.6
zinc_div_0325,O=C1CC[C@@H](N2C[C@@H]3C[C@H]2CN3C(=O)c2cnn[nH]2)C(=O)N1,-8.153,304.3,-1.49,2,6,111.3,4.98
zinc_div_0303,O=C1NC[C@H](C(=O)N2CC(NC(=O)c3cn4c(n3)CCC4)C2)N1,-8.044,318.3,-1.55,3,5,108.4,3.5
zinc_div_0331,O=C1C[C@@H](C(=O)N2CCN([C@H]3CCC[C@H]3O)CC2)NC(=O)N1,-8.004,310.4,-1.36,3,5,102.0,3.55
zinc_div_0622,NC(=O)C(=O)NC1CN(C(=O)[C@@H]2CN3C[C@H]4C[C@]3(CO2)C4)C1,-7.991,308.3,-2.34,2,5,105.0,4.97
zinc_div_0352,O=C1NC[C@H](C(=O)N2C[C@H]3CN(C(=O)c4cn[nH]c4)C[C@H]3C2)N1,-7.972,318.3,-1.38,3,4,110.4,3.98
