ligand,affinity_kcal,hbond_total,hbond_pdon,hbond_ldon,hydrophobic,pi_stack,salt_bridge,water_bridge,hinge_residues,hbond_details,is_hinge_binder
zinc_div_0277,-8.943,0,0,0,0,0,0,0,[],,False
zinc_div_0276,-8.862,0,0,0,0,0,0,0,[],,False
zinc_div_0310,-8.685,0,0,0,0,0,0,0,[],,False
zinc_div_0555,-8.656,0,0,0,0,0,0,0,[],,False
zinc_div_0357,-8.476,0,0,0,0,0,0,0,[],,False
zinc_div_0300,-8.422,0,0,0,0,0,0,0,[],,False
zinc_div_0340,-8.353,0,0,0,0,0,0,0,[],,False
zinc_div_0866,-8.218,0,0,0,0,0,0,0,[],,False
zinc_div_0295,-8.184,0,0,0,0,0,0,0,[],,False
zinc_div_0100,-8.17,0,0,0,0,0,0,0,[],,False
zinc_div_0325,-8.153,0,0,0,0,0,0,0,[],,False
zinc_div_0840,-8.138,0,0,0,0,0,0,0,[],,False
zinc_div_0303,-8.044,0,0,0,0,0,0,0,[],,False
zinc_div_0389,-8.039,0,0,0,0,0,0,0,[],,False
zinc_div_0331,-8.004,0,0,0,0,0,0,0,[],,False
zinc_div_0967,-8.004,0,0,0,0,0,0,0,[],,False
zinc_div_0622,-7.991,0,0,0,0,0,0,0,[],,False
zinc_div_0731,-7.985,0,0,0,0,0,0,0,[],,False
zinc_div_0352,-7.972,0,0,0,0,0,0,0,[],,False
zinc_div_0374,-7.803,0,0,0,0,0,0,0,[],,False
